#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
47  418000  191.78325124264884  5     0.008364299313618878     5.443743204553037e+49     3.5249575832908863e+49     1.214188634095035e+50     2.1110587128794275e+50
48  420000  192.76847291758304  5     0.00841250770171093     5.495063743356263e+49     3.520511245521471e+49     1.2190214015123605e+50     2.120578900400134e+50
49  422000  193.75369459251723  5     0.00844878895529278     5.546699786031332e+49     3.494736687169725e+49     1.2245313120040605e+50     2.128674959324166e+50
50  424000  194.73891626745143  5     0.008510401956634547     5.616058829051551e+49     3.527191781933742e+49     1.2349124807073176e+50     2.149237541805847e+50
51  425000  195.2315271049185  5     0.008544414100766368     5.653807623564426e+49     3.5273507770822215e+49     1.2380378386069142e+50     2.156153678671579e+50
52  427000  196.2167487798527  5     0.008607036868664118     5.678536093943517e+49     3.530542485072302e+49     1.2401620041482111e+50     2.161069862049793e+50
53  429000  197.2019704547869  5     0.008687371369108703     5.765172950776117e+49     3.520082895534848e+49     1.2425709943636548e+50     2.171096578994751e+50
54  430000  197.69458129225401  5     0.00872141002495016     5.807623670736524e+49     3.4946201619953e+49     1.2429816469533109e+50     2.173206030226493e+50
55  431000  198.1871921297211  5     0.008745210132607093     5.83066173437798e+49     3.453593071350617e+49     1.2418610972105301e+50     2.1702865777833896e+50
